id,title,body
1,Marathon record falls,"The runner shattered the world marathon record on a cold morning, finishing the gruelling race in just over two hours of relentless pace."
2,Title decided in overtime,"A dramatic overtime goal sealed the championship for the home team as fans stormed the pitch celebrating the hard fought victory."
3,Transfer window heats up,"The football club signed a star striker for a record fee, hoping the new forward will boost their goal tally this season."
4,Tennis final thriller,"The tennis final went to five sets, with both players trading powerful serves and baseline rallies deep into the evening."
5,Cycling tour stage win,"The cyclist broke away on the final mountain climb, holding off the peloton to claim a memorable stage win in the tour."
6,Boxing bout ends early,"The heavyweight boxer delivered a stunning knockout in the third round, defending his title in front of a roaring crowd."
7,Basketball playoffs begin,"The basketball team clinched a playoff berth after a buzzer beater three pointer secured a narrow win over their rivals."
8,Swimming world record,"The swimmer touched the wall first to set a new world record in the freestyle, dominating the pool from start to finish."
9,Cricket test match drawn,"After five days of batting and bowling, the cricket test ended in a tense draw as bad light stopped play at the close."
10,Olympic gold for sprinter,"The sprinter exploded out of the blocks to take Olympic gold in the hundred metres, edging out rivals by a fraction."
11,New smartphone unveiled,"The tech company launched its latest smartphone featuring a faster chip, brighter display and an upgraded camera system."
12,AI model breaks benchmark,"Researchers released a new language model that outperformed previous systems on reasoning benchmarks and coding tasks."
13,Cloud outage hits services,"A major cloud provider suffered an outage that disrupted websites and apps for hours before engineers restored the servers."
14,Chip maker boosts output,"The semiconductor firm announced a new factory to increase chip production, aiming to ease the global shortage of processors."
15,Open source project grows,"The open source software project gained thousands of contributors after adding plugins, better documentation and faster builds."
16,Quantum computing leap,"Scientists demonstrated a quantum processor that solved a sampling problem far faster than any classical supercomputer could."
17,Cybersecurity breach reported,"A data breach exposed millions of user records, prompting the company to reset passwords and patch the vulnerable software."
18,Electric car software update,"The carmaker pushed an over the air update adding self parking and longer range to its electric vehicles overnight."
19,Robotics startup funded,"A robotics startup raised funding to build warehouse robots that pick and pack orders using computer vision and machine learning."
20,Streaming app adds features,"The streaming platform rolled out an algorithm that recommends shows and a new interface for browsing on smart televisions."
21,Slow roasted lamb recipe,"Rub the lamb with garlic and rosemary, then roast it slowly for hours until the meat is tender and falls off the bone."
22,Perfect sourdough loaf,"Mix the flour and starter, let the dough ferment overnight, then bake the sourdough in a hot oven for a crisp crust."
23,Fresh summer salad,"Toss ripe tomatoes, cucumber and basil with olive oil and a squeeze of lemon for a refreshing light summer salad."
24,Homemade pasta sauce,"Simmer crushed tomatoes with onion, garlic and herbs for a rich pasta sauce that tastes better the longer it cooks."
25,Chocolate cake from scratch,"Cream the butter and sugar, fold in cocoa and flour, then bake the chocolate cake until a skewer comes out clean."
26,Spicy noodle stir fry,"Stir fry the noodles with vegetables, soy sauce and chilli over high heat for a quick and fiery weeknight dinner."
27,Creamy mushroom risotto,"Stir the rice slowly while adding warm stock, finishing the risotto with parmesan and sauteed mushrooms for richness."
28,Grilled fish tacos,"Grill the fish, flake it into warm tortillas, and top with cabbage slaw and lime crema for fresh and zesty tacos."
29,Berry breakfast smoothie,"Blend frozen berries, banana and yoghurt into a thick smoothie that makes a quick and healthy breakfast on busy mornings."
30,Classic beef stew,"Brown the beef, add carrots, potatoes and stock, then let the stew braise slowly until everything is meltingly tender."
31,Local derby ends in draw,"The fierce local derby finished level after both teams scored late, leaving supporters on the edge of their seats."
32,Wearable tracks health,"The new wearable device tracks heart rate, sleep and oxygen levels, syncing the data to a companion app on your phone."
33,Garlic butter shrimp,"Saute the shrimp in garlic butter for just a few minutes, then finish with parsley and lemon for a quick seafood dish."
34,Golf major surprise,"An unheralded golfer sank a long birdie putt on the final hole to win the major championship by a single stroke."
35,Laptop launch event,"The company revealed a thin and light laptop with a powerful processor, long battery life and a vivid high resolution screen."
36,One pot vegetable curry,"Simmer mixed vegetables in coconut milk and spices for a comforting one pot curry served over fluffy steamed rice."
